trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 29, 'filters': 123, 'kernel_size': 4, 'lstm_units': 166, 'dense_units': 23, 'dropout_rate': 0.16239780813448107, 'learning_rate': 1.493656855461762e-05, 'l2_reg': 0.0003967605077052988, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.02423808042504242), np.float64(0.012222116214628773), np.float64(0.009877034105482605), np.float64(0.008227063680891886), np.float64(0.010290971660805706)]",0.012971053217370276
1,"{'lookback': 46, 'filters': 18, 'kernel_size': 5, 'lstm_units': 219, 'dense_units': 26, 'dropout_rate': 0.17272998688284025, 'learning_rate': 3.5498788321965036e-05, 'l2_reg': 8.179499475211674e-06, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.0060098361221611754), np.float64(0.010634536979144895), np.float64(0.009372287581150527), np.float64(0.00801265065928086), np.float64(0.010312394591806506)]",0.008868341186708793
2,"{'lookback': 32, 'filters': 48, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 30, 'dropout_rate': 0.2465447373174767, 'learning_rate': 0.00023345864076016249, 'l2_reg': 0.0002267398652378039, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.00602830850813585), np.float64(0.010255327301296859), np.float64(0.0094852964830463), np.float64(0.007943023682897697), np.float64(0.010225447109439135)]",0.008787480616963168
3,"{'lookback': 36, 'filters': 82, 'kernel_size': 2, 'lstm_units': 168, 'dense_units': 24, 'dropout_rate': 0.12602063719411183, 'learning_rate': 0.007025166339242158, 'l2_reg': 0.0007886714129990489, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.00809311302279741), np.float64(0.010276678894116658), np.float64(0.009309455028678975), np.float64(0.007974287053021329), np.float64(0.010205651479395107)]",0.009171837095601895
4,"{'lookback': 25, 'filters': 27, 'kernel_size': 4, 'lstm_units': 131, 'dense_units': 21, 'dropout_rate': 0.29807076404450805, 'learning_rate': 1.2681352169084594e-05, 'l2_reg': 0.0005345166110646819, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006011288864111507), np.float64(0.01073901030856139), np.float64(0.009705541877114676), np.float64(0.008119353838815369), np.float64(0.010625817033194396)]",0.009040202384359467
5,"{'lookback': 43, 'filters': 51, 'kernel_size': 4, 'lstm_units': 155, 'dense_units': 25, 'dropout_rate': 0.48783385110582345, 'learning_rate': 0.002115429079726122, 'l2_reg': 0.0006584106160121611, 'batch_size_exp': 9, 'batch_size': 512}","[np.float64(0.016745956697760966), np.float64(0.012612067598268014), np.float64(0.00932573525862352), np.float64(0.008109374616773194), np.float64(0.010742090159808211)]",0.01150704486624678
6,"{'lookback': 40, 'filters': 120, 'kernel_size': 2, 'lstm_units': 76, 'dense_units': 18, 'dropout_rate': 0.23013213230530574, 'learning_rate': 0.00014656553886225324, 'l2_reg': 6.516990611177181e-06, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.006198817389576166), np.float64(0.011475657716755816), np.float64(0.00949458185370457), np.float64(0.00796728496672592), np.float64(0.010155765691049087)]",0.009058421523562312
7,"{'lookback': 28, 'filters': 47, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 55, 'dropout_rate': 0.12982025747190834, 'learning_rate': 0.009133995846860976, 'l2_reg': 0.00020736445177905034, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006218663915458236), np.float64(0.010272942572861717), np.float64(0.009321178938294724), np.float64(0.007886240633561076), np.float64(0.010285111312828511)]",0.008796827474600854
8,"{'lookback': 10, 'filters': 108, 'kernel_size': 4, 'lstm_units': 196, 'dense_units': 53, 'dropout_rate': 0.12961786069363615, 'learning_rate': 0.0001189589673755355, 'l2_reg': 2.2264204303769692e-06, 'batch_size_exp': 9, 'batch_size': 512}","[np.float64(0.007287868544500954), np.float64(0.013128398742266472), np.float64(0.009546028581194034), np.float64(0.00793860969857567), np.float64(0.010261058312519498)]",0.009632392775811325
9,"{'lookback': 41, 'filters': 53, 'kernel_size': 2, 'lstm_units': 101, 'dense_units': 31, 'dropout_rate': 0.39184247133522565, 'learning_rate': 0.0008178476574339542, 'l2_reg': 0.0004588156549160974, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.005943629420488007), np.float64(0.010297737283879862), np.float64(0.009332940105478832), np.float64(0.007956837165885092), np.float64(0.010142787065517288)]",0.008734786208249816
10,"{'lookback': 58, 'filters': 82, 'kernel_size': 2, 'lstm_units': 110, 'dense_units': 40, 'dropout_rate': 0.4407901565064135, 'learning_rate': 0.0009186066145996931, 'l2_reg': 7.180490240900498e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006102528845790368), np.float64(0.010445108387179698), np.float64(0.009389860258851522), np.float64(0.008000567775733927), np.float64(0.01023808417198143)]",0.00883522988790739
11,"{'lookback': 52, 'filters': 54, 'kernel_size': 3, 'lstm_units': 36, 'dense_units': 36, 'dropout_rate': 0.3920339412764792, 'learning_rate': 0.0004221329465508774, 'l2_reg': 0.00010655451464437431, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005972123297320341), np.float64(0.01036318543359962), np.float64(0.00949810409369721), np.float64(0.007935427659088373), np.float64(0.010234654239908169)]",0.008800698944722744
12,"{'lookback': 17, 'filters': 67, 'kernel_size': 3, 'lstm_units': 97, 'dense_units': 32, 'dropout_rate': 0.3429762679188224, 'learning_rate': 0.0012690764532532696, 'l2_reg': 3.389863841502713e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.005918889871987305), np.float64(0.01114751606754915), np.float64(0.009413568126300537), np.float64(0.008040558030503337), np.float64(0.010239249083117448)]",0.008951956235891557
13,"{'lookback': 33, 'filters': 35, 'kernel_size': 5, 'lstm_units': 256, 'dense_units': 46, 'dropout_rate': 0.26570807641113564, 'learning_rate': 0.0002871324567914869, 'l2_reg': 0.00016068924388603186, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.00608199114507149), np.float64(0.010507099699184539), np.float64(0.00934774645376252), np.float64(0.00791541765735934), np.float64(0.010323967239793794)]",0.008835244439034336
14,"{'lookback': 49, 'filters': 67, 'kernel_size': 3, 'lstm_units': 33, 'dense_units': 63, 'dropout_rate': 0.36049117241691964, 'learning_rate': 5.18277885617295e-05, 'l2_reg': 3.2005806237981036e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0060536508356212925), np.float64(0.01084129816997845), np.float64(0.009779939598222204), np.float64(0.008076322869959025), np.float64(0.01016042517112564)]",0.008982327328981323
15,"{'lookback': 19, 'filters': 37, 'kernel_size': 3, 'lstm_units': 75, 'dense_units': 31, 'dropout_rate': 0.22819048414165793, 'learning_rate': 0.00044325049455460285, 'l2_reg': 0.00024519167346631957, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.00603938315794783), np.float64(0.010308368264557666), np.float64(0.00933169401605261), np.float64(0.007879908987453806), np.float64(0.010242965438743602)]",0.008760463972951103
16,"{'lookback': 21, 'filters': 35, 'kernel_size': 2, 'lstm_units': 112, 'dense_units': 43, 'dropout_rate': 0.4003988944050103, 'learning_rate': 0.002598677569646522, 'l2_reg': 6.676304568412656e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.005954166172460579), np.float64(0.010334839813154419), np.float64(0.009385825082774382), np.float64(0.008035751619073241), np.float64(0.010204724913081912)]",0.008783061520108906
17,"{'lookback': 14, 'filters': 93, 'kernel_size': 3, 'lstm_units': 84, 'dense_units': 33, 'dropout_rate': 0.21090032990291507, 'learning_rate': 0.0007625344687909921, 'l2_reg': 0.0009964317229586512, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.00620623388338845), np.float64(0.010278778877005963), np.float64(0.009320703629425801), np.float64(0.007891765860984154), np.float64(0.010335521026493715)]",0.008806600655459618
18,"{'lookback': 39, 'filters': 60, 'kernel_size': 2, 'lstm_units': 129, 'dense_units': 38, 'dropout_rate': 0.3124159276690213, 'learning_rate': 0.0031435467621580213, 'l2_reg': 0.00028002029701973885, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006001982461334366), np.float64(0.010432957673363063), np.float64(0.009327291846484075), np.float64(0.007887325935732152), np.float64(0.010145846029718866)]",0.008759080789326504
20,"{'lookback': 58, 'filters': 89, 'kernel_size': 2, 'lstm_units': 195, 'dense_units': 38, 'dropout_rate': 0.43702786067459065, 'learning_rate': 0.003964986177224439, 'l2_reg': 1.0835847514722128e-06, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.005962557833645221), np.float64(0.010338633071195593), np.float64(0.00932090051069813), np.float64(0.008089628372851668), np.float64(0.01023850316221954)]",0.00879004459012203
21,"{'lookback': 39, 'filters': 37, 'kernel_size': 3, 'lstm_units': 135, 'dense_units': 30, 'dropout_rate': 0.287679145603263, 'learning_rate': 0.0005227241554389569, 'l2_reg': 0.00028725457342645326, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006006756093723703), np.float64(0.010323370140353545), np.float64(0.0093840435500781), np.float64(0.00798060920818281), np.float64(0.010151946753962785)]",0.008769345149260189
