trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 27, 'filters': 62, 'kernel_size': 4, 'lstm_units': 80, 'dense_units': 21, 'dropout_rate': 0.2267983561008608, 'learning_rate': 0.00036776936774303264, 'l2_reg': 0.001220776478695416, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006209149454013678), np.float64(0.006272519310639449), np.float64(0.012657356832978355), np.float64(0.00898359000385807), np.float64(0.007603795471218236)]",0.008345282214541557
1,"{'lookback': 35, 'filters': 17, 'kernel_size': 4, 'lstm_units': 99, 'dense_units': 23, 'dropout_rate': 0.23454749016213017, 'learning_rate': 0.0005707213043685124, 'l2_reg': 0.00015359756451337157, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.0062990045648700956), np.float64(0.006267853972544197), np.float64(0.012256659624549113), np.float64(0.008898670634918343), np.float64(0.007638311390034143)]",0.008272100037383179
2,"{'lookback': 28, 'filters': 30, 'kernel_size': 3, 'lstm_units': 43, 'dense_units': 25, 'dropout_rate': 0.28990855298810747, 'learning_rate': 0.0014847746361371392, 'l2_reg': 0.0009054594344647798, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0062594061145743824), np.float64(0.006357881645422654), np.float64(0.01215208611547809), np.float64(0.008880017593498508), np.float64(0.007587885607909558)]",0.00824745541537664
3,"{'lookback': 30, 'filters': 45, 'kernel_size': 2, 'lstm_units': 81, 'dense_units': 21, 'dropout_rate': 0.19951547789558385, 'learning_rate': 0.00835908749632969, 'l2_reg': 0.0017618561667189323, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.006288244825338804), np.float64(0.006252735476495661), np.float64(0.012159568715542152), np.float64(0.008818091023302678), np.float64(0.007563006437515813)]",0.008216329295639022
4,"{'lookback': 25, 'filters': 20, 'kernel_size': 4, 'lstm_units': 67, 'dense_units': 20, 'dropout_rate': 0.32855307303338105, 'learning_rate': 0.0003384471042326004, 'l2_reg': 0.0014313829500644556, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006442477849598814), np.float64(0.006556075863701975), np.float64(0.012365019983318244), np.float64(0.008836970338190774), np.float64(0.007698276051905204)]",0.008379764017343003
5,"{'lookback': 34, 'filters': 31, 'kernel_size': 3, 'lstm_units': 76, 'dense_units': 22, 'dropout_rate': 0.47087538832936754, 'learning_rate': 0.004545216307485068, 'l2_reg': 0.0015999399049657164, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.006731494940598012), np.float64(0.006387284242910329), np.float64(0.01217950779111184), np.float64(0.008934432668369477), np.float64(0.007725905061100327)]",0.008391724940817996
6,"{'lookback': 32, 'filters': 61, 'kernel_size': 2, 'lstm_units': 47, 'dense_units': 17, 'dropout_rate': 0.2775990992289793, 'learning_rate': 0.001172275363492807, 'l2_reg': 0.00013604651830782376, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.0073021771326975855), np.float64(0.006248752353534906), np.float64(0.012218215992454796), np.float64(0.0089141171592913), np.float64(0.007667807477642036)]",0.008470214023124124
7,"{'lookback': 26, 'filters': 29, 'kernel_size': 3, 'lstm_units': 43, 'dense_units': 42, 'dropout_rate': 0.20236519310393125, 'learning_rate': 0.009550594243170427, 'l2_reg': 0.0008632815369661437, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006254694737715033), np.float64(0.0062450003828540684), np.float64(0.012148821070114934), np.float64(0.008812484417978734), np.float64(0.007607764362668526)]",0.008213752994266257
8,"{'lookback': 18, 'filters': 55, 'kernel_size': 4, 'lstm_units': 91, 'dense_units': 41, 'dropout_rate': 0.2022133955202271, 'learning_rate': 0.0010544381090806956, 'l2_reg': 7.666536167485592e-05, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.006279377879884359), np.float64(0.006292498676149819), np.float64(0.012317326243867206), np.float64(0.008844048890718442), np.float64(0.007591045792179568)]",0.00826485949655988
9,"{'lookback': 33, 'filters': 32, 'kernel_size': 2, 'lstm_units': 57, 'dense_units': 26, 'dropout_rate': 0.39888185350141925, 'learning_rate': 0.002805717731074731, 'l2_reg': 0.0013192832331971251, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006319250486235951), np.float64(0.0062464937041682685), np.float64(0.012147217502215918), np.float64(0.008860771385671812), np.float64(0.007607012727036774)]",0.008236149161065746
