trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 38, 'filters': 31, 'kernel_size': 2, 'lstm_units': 71, 'dense_units': 36, 'dropout_rate': 0.37615916282240297, 'learning_rate': 0.007789487423071466, 'l2_reg': 0.0004153965446910783, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006267095312835626), np.float64(0.0062282722045503116), np.float64(0.012161136055467654), np.float64(0.00881527786243755), np.float64(0.007565117170730587)]",0.008207379721204345
1,"{'lookback': 33, 'filters': 32, 'kernel_size': 4, 'lstm_units': 64, 'dense_units': 25, 'dropout_rate': 0.37164796595947763, 'learning_rate': 0.005563492452800435, 'l2_reg': 0.00014615256930288327, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006271620488990033), np.float64(0.006235795683127325), np.float64(0.01210329913110765), np.float64(0.008839456667955565), np.float64(0.007565774169488937)]",0.008203189228133902
2,"{'lookback': 35, 'filters': 37, 'kernel_size': 3, 'lstm_units': 88, 'dense_units': 36, 'dropout_rate': 0.40998423192196487, 'learning_rate': 0.005444829093173675, 'l2_reg': 0.00019573160679248097, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006264049407151794), np.float64(0.0062194555877712505), np.float64(0.012150267912329394), np.float64(0.008818231749842866), np.float64(0.00755782832391038)]",0.008201966596201137
3,"{'lookback': 31, 'filters': 31, 'kernel_size': 3, 'lstm_units': 45, 'dense_units': 31, 'dropout_rate': 0.37755529739933585, 'learning_rate': 0.003965135575638512, 'l2_reg': 0.00024241699941470718, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006254234330582993), np.float64(0.0062332215431743915), np.float64(0.0121537156727306), np.float64(0.008835810798690476), np.float64(0.007557843131078638)]",0.008206965095251418
4,"{'lookback': 34, 'filters': 46, 'kernel_size': 4, 'lstm_units': 68, 'dense_units': 34, 'dropout_rate': 0.3208113111142732, 'learning_rate': 0.003104951995478913, 'l2_reg': 0.00023693291540457194, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006224549637328587), np.float64(0.006251392804882851), np.float64(0.0121565046953071), np.float64(0.008822084354559124), np.float64(0.007559848424335458)]",0.008202875983282624
5,"{'lookback': 31, 'filters': 36, 'kernel_size': 4, 'lstm_units': 69, 'dense_units': 34, 'dropout_rate': 0.32171315987825827, 'learning_rate': 0.00628835036164553, 'l2_reg': 0.00035044314042549575, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006258442616416674), np.float64(0.006246837162230087), np.float64(0.012146396639997748), np.float64(0.008814614709034305), np.float64(0.007557852381640055)]",0.008204828701863775
6,"{'lookback': 33, 'filters': 31, 'kernel_size': 3, 'lstm_units': 78, 'dense_units': 38, 'dropout_rate': 0.391876020746042, 'learning_rate': 0.005058212215130971, 'l2_reg': 0.00033818429358229584, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0062459286780146535), np.float64(0.0062306331987702895), np.float64(0.01215254353872222), np.float64(0.008823961456478596), np.float64(0.00759300563722416)]",0.008209214501841984
7,"{'lookback': 38, 'filters': 45, 'kernel_size': 2, 'lstm_units': 83, 'dense_units': 28, 'dropout_rate': 0.33496013290417875, 'learning_rate': 0.004422658707189691, 'l2_reg': 0.00012202168429845425, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006386149464165093), np.float64(0.006266633293911401), np.float64(0.012148408804986384), np.float64(0.008830816624111067), np.float64(0.007567944184200862)]",0.008239990474274962
8,"{'lookback': 37, 'filters': 42, 'kernel_size': 2, 'lstm_units': 73, 'dense_units': 33, 'dropout_rate': 0.32861273594605006, 'learning_rate': 0.0024727922371396865, 'l2_reg': 0.0004247425333969664, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006258660464008605), np.float64(0.006232212977514539), np.float64(0.012157369802006981), np.float64(0.00882166988517566), np.float64(0.0075584298889484515)]",0.008205668603530846
9,"{'lookback': 38, 'filters': 37, 'kernel_size': 3, 'lstm_units': 92, 'dense_units': 38, 'dropout_rate': 0.3643315620029717, 'learning_rate': 0.002124587744606886, 'l2_reg': 0.00018846599230124832, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006278860535726335), np.float64(0.006252925002178587), np.float64(0.012106450726151343), np.float64(0.008816956742057692), np.float64(0.00755722642638586)]",0.008202483886499964
10,"{'lookback': 42, 'filters': 24, 'kernel_size': 3, 'lstm_units': 93, 'dense_units': 40, 'dropout_rate': 0.45430607960754793, 'learning_rate': 0.00353277995114943, 'l2_reg': 0.000579282080061438, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006270239687260093), np.float64(0.006248396360468293), np.float64(0.012153842067150075), np.float64(0.008829256016224656), np.float64(0.00756711040796212)]",0.008213768907813047
11,"{'lookback': 28, 'filters': 39, 'kernel_size': 3, 'lstm_units': 96, 'dense_units': 38, 'dropout_rate': 0.42497586314347474, 'learning_rate': 0.002309431768795259, 'l2_reg': 0.00018154774578188961, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006272147094674248), np.float64(0.006224977264478243), np.float64(0.012156660464928628), np.float64(0.008853184219518594), np.float64(0.007560921207355718)]",0.008213578050191087
12,"{'lookback': 41, 'filters': 36, 'kernel_size': 3, 'lstm_units': 87, 'dense_units': 40, 'dropout_rate': 0.41737143135070004, 'learning_rate': 0.0020102226086773237, 'l2_reg': 0.00010092315893875313, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006356727298152079), np.float64(0.006329584994665192), np.float64(0.012148786436716547), np.float64(0.00882643863868535), np.float64(0.007570833156439395)]",0.008246474104931713
13,"{'lookback': 36, 'filters': 40, 'kernel_size': 3, 'lstm_units': 55, 'dense_units': 36, 'dropout_rate': 0.4158252407309408, 'learning_rate': 0.0029659437356648814, 'l2_reg': 0.00018301947702719696, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006294102532165772), np.float64(0.006227015401266311), np.float64(0.012155143802566106), np.float64(0.008838058512041598), np.float64(0.007564786713764215)]",0.0082158213923608
14,"{'lookback': 40, 'filters': 26, 'kernel_size': 3, 'lstm_units': 87, 'dense_units': 30, 'dropout_rate': 0.34988303963868345, 'learning_rate': 0.006793575953654061, 'l2_reg': 0.00018184111408337043, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0062645670324906096), np.float64(0.0062273853702841196), np.float64(0.012147719172449853), np.float64(0.008830450814458848), np.float64(0.007555294722769764)]",0.008205083422490638
