trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 17, 'filters': 62, 'kernel_size': 4, 'lstm_units': 122, 'dense_units': 21, 'dropout_rate': 0.2267983561008608, 'learning_rate': 0.0003630334722675133, 'l2_reg': 0.00044505240269526725, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012862148220447445), np.float64(0.012265332338564963), np.float64(0.026900978855577268), np.float64(0.019009022586277617), np.float64(0.018674567029122312)]",0.01794240980599792
1,"{'lookback': 23, 'filters': 17, 'kernel_size': 4, 'lstm_units': 144, 'dense_units': 23, 'dropout_rate': 0.23454749016213017, 'learning_rate': 0.0005478357268196331, 'l2_reg': 3.793153048114781e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012781597610568796), np.float64(0.012416871558308321), np.float64(0.026889211816166155), np.float64(0.018759294353822367), np.float64(0.018974363183956927)]",0.017964267704564513
2,"{'lookback': 18, 'filters': 30, 'kernel_size': 3, 'lstm_units': 77, 'dense_units': 25, 'dropout_rate': 0.28990855298810747, 'learning_rate': 0.0013411050316827278, 'l2_reg': 0.00031207610012460625, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012848407707575855), np.float64(0.012268177882785294), np.float64(0.0266226502397591), np.float64(0.0188096692556092), np.float64(0.018719907186505413)]",0.017853762454446972
3,"{'lookback': 19, 'filters': 45, 'kernel_size': 2, 'lstm_units': 122, 'dense_units': 21, 'dropout_rate': 0.19951547789558385, 'learning_rate': 0.006763980725148532, 'l2_reg': 0.000688152438667204, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012756018581978733), np.float64(0.012303337075872355), np.float64(0.026619996912513058), np.float64(0.01873105388793748), np.float64(0.01868190668776291)]",0.017818462629212908
4,"{'lookback': 15, 'filters': 20, 'kernel_size': 4, 'lstm_units': 106, 'dense_units': 20, 'dropout_rate': 0.32855307303338105, 'learning_rate': 0.00033585994349390083, 'l2_reg': 0.0005376734009292841, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012892764090078144), np.float64(0.012596993092461786), np.float64(0.0271371745697789), np.float64(0.018829607237648656), np.float64(0.0187204709368392)]",0.018035401985361337
5,"{'lookback': 22, 'filters': 31, 'kernel_size': 3, 'lstm_units': 117, 'dense_units': 22, 'dropout_rate': 0.47087538832936754, 'learning_rate': 0.0038232828101704593, 'l2_reg': 0.0006136928005932465, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012818903921549286), np.float64(0.012323817074971294), np.float64(0.02677241948384754), np.float64(0.018828277227550805), np.float64(0.018727291248343277)]",0.017894141791252437
6,"{'lookback': 21, 'filters': 61, 'kernel_size': 2, 'lstm_units': 83, 'dense_units': 17, 'dropout_rate': 0.2775990992289793, 'learning_rate': 0.0010748872631664414, 'l2_reg': 3.2839884828220156e-05, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012803128250014952), np.float64(0.012419175783966296), np.float64(0.02680003719542024), np.float64(0.018799656949503245), np.float64(0.018760922386315725)]",0.017916584113044094
7,"{'lookback': 16, 'filters': 29, 'kernel_size': 3, 'lstm_units': 77, 'dense_units': 42, 'dropout_rate': 0.20236519310393125, 'learning_rate': 0.007662864896413686, 'l2_reg': 0.0002948840536305993, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012859029979393685), np.float64(0.012266529106229588), np.float64(0.02663692092585263), np.float64(0.018823266723035637), np.float64(0.01869165487906379)]",0.017855480322715066
8,"{'lookback': 10, 'filters': 55, 'kernel_size': 4, 'lstm_units': 134, 'dense_units': 41, 'dropout_rate': 0.2022133955202271, 'learning_rate': 0.0009733794545759308, 'l2_reg': 1.6615340547208623e-05, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012814778124780496), np.float64(0.012320450844996937), np.float64(0.027229891573648406), np.float64(0.018897054872547107), np.float64(0.01873795542428629)]",0.018000026168051846
9,"{'lookback': 21, 'filters': 32, 'kernel_size': 2, 'lstm_units': 94, 'dense_units': 26, 'dropout_rate': 0.39888185350141925, 'learning_rate': 0.0024336508652101374, 'l2_reg': 0.00048802906406288, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.013047293631687829), np.float64(0.01236542246893445), np.float64(0.026612844195684954), np.float64(0.018709210303345113), np.float64(0.01871235480369529)]",0.017889425080669527
10,"{'lookback': 27, 'filters': 48, 'kernel_size': 2, 'lstm_units': 154, 'dense_units': 33, 'dropout_rate': 0.38707412207074354, 'learning_rate': 0.007323319832266266, 'l2_reg': 0.00013857772950515265, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012788473678411353), np.float64(0.012583894045453115), np.float64(0.02663495918518787), np.float64(0.01873313608585271), np.float64(0.018712182835063856)]",0.017890529165993783
11,"{'lookback': 12, 'filters': 42, 'kernel_size': 3, 'lstm_units': 66, 'dense_units': 30, 'dropout_rate': 0.2900533357001471, 'learning_rate': 0.002293809178540159, 'l2_reg': 0.00019329349192960445, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012805442307043821), np.float64(0.012305905480160145), np.float64(0.026629978057719227), np.float64(0.01873398786378446), np.float64(0.018708351182897483)]",0.01783673297832103
12,"{'lookback': 11, 'filters': 43, 'kernel_size': 3, 'lstm_units': 65, 'dense_units': 33, 'dropout_rate': 0.2792897931292529, 'learning_rate': 0.003627947891832391, 'l2_reg': 0.00013702212595394396, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012862180947454413), np.float64(0.012348760843724072), np.float64(0.02663749497792648), np.float64(0.01875370951595345), np.float64(0.018735853094000894)]",0.017867599875811862
13,"{'lookback': 14, 'filters': 47, 'kernel_size': 2, 'lstm_units': 103, 'dense_units': 29, 'dropout_rate': 0.35496814618989825, 'learning_rate': 0.002192252243813416, 'l2_reg': 0.00018444558855026794, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012855988767500163), np.float64(0.012308361218674568), np.float64(0.026564094933736127), np.float64(0.018786703466961135), np.float64(0.018694235330734648)]",0.017841876743521327
14,"{'lookback': 13, 'filters': 37, 'kernel_size': 2, 'lstm_units': 126, 'dense_units': 48, 'dropout_rate': 0.2494585695399357, 'learning_rate': 0.0047507065749445914, 'l2_reg': 6.141318247952729e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012933017024832622), np.float64(0.012332911533618181), np.float64(0.026517977306115117), np.float64(0.018819786260309355), np.float64(0.018755624965520305)]",0.017871863418079115
15,"{'lookback': 26, 'filters': 54, 'kernel_size': 3, 'lstm_units': 91, 'dense_units': 37, 'dropout_rate': 0.3216906186062589, 'learning_rate': 0.0019426990556441549, 'l2_reg': 0.0007969509939402886, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012773217899263337), np.float64(0.012272772222882592), np.float64(0.02663447123883926), np.float64(0.0187714619468141), np.float64(0.018721870081684203)]",0.017834758677896696
16,"{'lookback': 27, 'filters': 55, 'kernel_size': 2, 'lstm_units': 95, 'dense_units': 38, 'dropout_rate': 0.4640414779240689, 'learning_rate': 0.0008293634325061932, 'l2_reg': 0.0007563116072613756, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.01407009453596857), np.float64(0.012282978231474588), np.float64(0.026619026312335193), np.float64(0.01881243403577186), np.float64(0.018731784675692767)]",0.018103263558248595
