seed,best_epoch,best_loss,best_val_loss,evaluation_mode,rmse_test,r2_test
0,9,0.0063905450258517835,0.004705268828844538,heldout_test,0.6700995023198225,0.928971222560558
1,7,0.004612172378555816,0.004695144883946192,heldout_test,0.6695277204056383,0.9290923855910814
2,1,0.01308958797141862,0.004692920649956379,heldout_test,0.6686759018136145,0.9292726977713571
7,2,0.00979013402376798,0.004649581998700694,heldout_test,0.6922972037285711,0.9241874850767126
11,18,0.0037875881529427177,0.00470727235744042,heldout_test,0.6690459260281134,0.9291943995840511
17,7,0.006902313028490685,0.004689160546249881,heldout_test,0.6795778199124011,0.9269476585061683
21,1,0.02995086389067602,0.004653050343753124,heldout_test,0.6964318511281007,0.9232792218109229
42,7,0.007544923269661713,0.0046739515905477565,heldout_test,0.6690314645037247,0.9291974604975428
99,6,0.00457409605667559,0.0046953508440329104,heldout_test,0.66910847781934,0.9291811591651027
123,6,0.004821134305432119,0.004694555253170583,heldout_test,0.6691849544499062,0.9291649695754596
