trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 21, 'filters': 27, 'kernel_size': 2, 'lstm_units': 123, 'dense_units': 41, 'dropout_rate': 0.3519280982211584, 'learning_rate': 0.0048855336906097006, 'l2_reg': 0.00024199129458796895, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012792007114709633), np.float64(0.012270969989197562), np.float64(0.026618710265902516), np.float64(0.018748519901536857), np.float64(0.01869536832973733)]",0.017825115120216783
1,"{'lookback': 17, 'filters': 28, 'kernel_size': 4, 'lstm_units': 117, 'dense_units': 25, 'dropout_rate': 0.34766752340617335, 'learning_rate': 0.0036473158238173467, 'l2_reg': 7.61135073274699e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012906743974921017), np.float64(0.012272662602476152), np.float64(0.026629422032248638), np.float64(0.018739919271929927), np.float64(0.018689995816257948)]",0.017847748739566738
2,"{'lookback': 18, 'filters': 33, 'kernel_size': 3, 'lstm_units': 137, 'dense_units': 42, 'dropout_rate': 0.3838739968151891, 'learning_rate': 0.0035796581011788477, 'l2_reg': 0.0001051789711295208, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012879810885699602), np.float64(0.012251076330223345), np.float64(0.026612553865851263), np.float64(0.018733036193888403), np.float64(0.018722587225561697)]",0.01783981290024486
3,"{'lookback': 14, 'filters': 27, 'kernel_size': 3, 'lstm_units': 100, 'dense_units': 34, 'dropout_rate': 0.35324666976603947, 'learning_rate': 0.0027178701475294455, 'l2_reg': 0.00013329083684959273, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012838744944084535), np.float64(0.01234888466482345), np.float64(0.02663329285929991), np.float64(0.018752200744478507), np.float64(0.01868008863992838)]",0.017850642370522956
4,"{'lookback': 17, 'filters': 42, 'kernel_size': 4, 'lstm_units': 120, 'dense_units': 39, 'dropout_rate': 0.2996551271634803, 'learning_rate': 0.002197824921867138, 'l2_reg': 0.00012995596434393566, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012754843734775822), np.float64(0.012268313535418442), np.float64(0.026638292155272185), np.float64(0.018767036196034776), np.float64(0.018679895824294277)]",0.0178216762891591
5,"{'lookback': 15, 'filters': 32, 'kernel_size': 4, 'lstm_units': 121, 'dense_units': 39, 'dropout_rate': 0.30050687321835506, 'learning_rate': 0.004056647765451204, 'l2_reg': 0.00020046111089015573, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012835308592529356), np.float64(0.012277935782882296), np.float64(0.026626144803764778), np.float64(0.018731973814751966), np.float64(0.018644029331747178)]",0.017823078465135114
6,"{'lookback': 16, 'filters': 27, 'kernel_size': 3, 'lstm_units': 129, 'dense_units': 45, 'dropout_rate': 0.3667717973712619, 'learning_rate': 0.0033578493692068222, 'l2_reg': 0.00019271102302078404, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012819940994333584), np.float64(0.01240789829026489), np.float64(0.026595997183402206), np.float64(0.0187463721158678), np.float64(0.01864487252750059)]",0.017843016222273814
7,"{'lookback': 20, 'filters': 41, 'kernel_size': 2, 'lstm_units': 133, 'dense_units': 30, 'dropout_rate': 0.3130179032983911, 'learning_rate': 0.0029882493569260197, 'l2_reg': 6.232790378834316e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012763866940729285), np.float64(0.012487015268077108), np.float64(0.02662552375631256), np.float64(0.018779625653401924), np.float64(0.018708707741016052)]",0.017872947871907387
8,"{'lookback': 20, 'filters': 38, 'kernel_size': 2, 'lstm_units': 125, 'dense_units': 37, 'dropout_rate': 0.3070231395046029, 'learning_rate': 0.0018035516243051738, 'l2_reg': 0.0002480273271246404, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012810647555385654), np.float64(0.01228937021367926), np.float64(0.02661674205885243), np.float64(0.018749803290958763), np.float64(0.018712371836100236)]",0.017835786990995268
9,"{'lookback': 20, 'filters': 33, 'kernel_size': 3, 'lstm_units': 141, 'dense_units': 45, 'dropout_rate': 0.34075758633613995, 'learning_rate': 0.001580826869104128, 'l2_reg': 0.0001008644390911676, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012909543200809354), np.float64(0.01230601890379645), np.float64(0.026629288185878563), np.float64(0.018734563483246765), np.float64(0.018689090261369928)]",0.017853700807020215
