Date,Gold_Futures,US30,SnP500,NASDAQ_100,USD_index,Silver_Futures
2015-04-01,1208.2,17698.2,2059.7,4311.26,98.19,17.059
2015-04-02,1200.9,17763.2,2067.0,4316.01,97.44,16.701
2015-04-03,1200.9,17676.0,2067.0,4316.01,96.55,16.72
2015-04-04,1200.9,17676.0,2067.0,4316.01,96.55,16.72
2015-04-05,1200.9,17676.0,2067.0,4316.01,96.55,16.72
2015-04-06,1218.6,17880.8,2080.6,4350.98,96.78,17.11
2015-04-07,1210.6,17875.4,2076.3,4344.08,97.83,16.84
2015-04-08,1203.1,17902.5,2081.9,4375.96,97.94,16.454
2015-04-09,1193.6,17958.7,2091.2,4403.95,99.16,16.176
2015-04-10,1204.6,18057.7,2102.1,4422.02,99.34,16.382
2015-04-11,1204.6,18057.7,2102.1,4422.02,99.34,16.382
2015-04-12,1204.6,18057.7,2102.1,4422.02,99.34,16.382
2015-04-13,1199.3,17977.0,2092.4,4409.21,99.49,16.291
2015-04-14,1192.6,18036.7,2095.8,4397.65,98.73,16.161
2015-04-15,1201.3,18112.6,2106.6,4424.53,98.32,16.279
2015-04-16,1198.0,18105.8,2105.0,4418.83,97.42,16.284
2015-04-17,1203.1,17826.3,2081.2,4351.8,97.52,16.229
2015-04-18,1203.1,17826.3,2081.2,4351.8,97.52,16.229
2015-04-19,1203.1,17826.3,2081.2,4351.8,97.52,16.229
2015-04-20,1193.7,18034.9,2100.4,4417.4,97.94,15.889
2015-04-21,1203.1,17949.6,2097.3,4435.98,98.0,16.008
2015-04-22,1186.9,18038.3,2108.0,4460.81,97.93,15.796
2015-04-23,1194.3,18058.7,2112.9,4477.07,97.28,15.829
2015-04-24,1175.0,18080.1,2117.7,4536.78,96.92,15.636
2015-04-25,1175.0,18080.1,2117.7,4536.78,96.92,15.636
2015-04-26,1175.0,18080.1,2117.7,4536.78,96.92,15.636
2015-04-27,1203.2,18038.0,2108.9,4525.03,96.77,16.394
2015-04-28,1213.9,18110.1,2114.8,4515.27,96.09,16.591
2015-04-29,1210.0,18035.5,2106.8,4488.15,95.21,16.702
2015-04-30,1182.4,17840.5,2085.5,4414.25,94.6,16.153
2015-05-01,1174.5,18024.1,2108.3,4479.06,95.3,16.135
2015-05-02,1174.5,18024.1,2108.3,4479.06,95.3,16.135
2015-05-03,1174.5,18024.1,2108.3,4479.06,95.3,16.135
2015-05-04,1186.8,18070.4,2114.5,4482.61,95.48,16.441
2015-05-05,1193.2,17928.2,2089.5,4409.39,95.08,16.579
2015-05-06,1190.3,17842.0,2080.2,4379.75,94.09,16.506
2015-05-07,1182.2,17924.1,2088.0,4401.55,94.64,16.297
2015-05-08,1188.9,18191.1,2116.1,4458.65,94.79,16.465
2015-05-09,1188.9,18191.1,2116.1,4458.65,94.79,16.465
2015-05-10,1188.9,18191.1,2116.1,4458.65,94.79,16.465
2015-05-11,1183.0,18105.2,2105.3,4438.64,95.01,16.314
2015-05-12,1192.4,18068.2,2099.1,4420.65,94.53,16.526
2015-05-13,1218.2,18060.5,2098.5,4426.56,93.62,17.221
2015-05-14,1225.2,18252.2,2121.1,4495.04,93.46,17.465
2015-05-15,1225.3,18272.6,2122.7,4494.29,93.14,17.563
2015-05-16,1225.3,18272.6,2122.7,4494.29,93.14,17.563
2015-05-17,1225.3,18272.6,2122.7,4494.29,93.14,17.563
2015-05-18,1227.6,18298.9,2129.2,4512.95,94.22,17.732
2015-05-19,1206.7,18312.4,2127.8,4503.72,95.27,17.071
2015-05-20,1208.7,18285.4,2125.8,4505.3,95.45,17.113
2015-05-21,1204.1,18285.7,2130.8,4529.47,95.25,17.132
2015-05-22,1204.0,18232.0,2126.1,4527.16,96.11,17.051
2015-05-23,1204.0,18232.0,2126.1,4527.16,96.11,17.051
2015-05-24,1204.0,18231.0,2126.1,4527.16,96.11,17.051
2015-05-25,1186.9,18215.0,2126.1,4527.16,96.01,16.746
2015-05-26,1186.9,18041.5,2104.2,4472.96,97.3,16.746
2015-05-27,1185.6,18163.0,2123.5,4546.06,97.37,16.647
2015-05-28,1188.8,18126.1,2120.8,4535.66,96.97,16.669
2015-05-29,1189.8,18010.7,2107.4,4508.25,96.91,16.701
2015-05-30,1189.8,18010.7,2107.4,4508.25,96.91,16.701
2015-05-31,1189.8,18010.7,2107.4,4508.25,96.91,16.701
2015-06-01,1188.7,18040.4,2111.7,4521.85,97.39,16.68
2015-06-02,1194.4,18011.9,2109.6,4508.89,95.83,16.799
2015-06-03,1184.9,18076.3,2114.1,4519.86,95.47,16.48
2015-06-04,1175.2,17905.6,2095.8,4487.03,95.46,16.103
2015-06-05,1168.1,17849.5,2092.8,4477.19,96.31,15.984
2015-06-06,1168.1,17849.5,2092.8,4477.19,96.31,15.984
2015-06-07,1168.1,17849.5,2092.8,4477.19,96.31,15.984
2015-06-08,1173.6,17766.6,2079.3,4431.52,95.3,15.959
2015-06-09,1177.6,17764.0,2080.2,4427.61,95.17,15.957
2015-06-10,1186.6,18000.4,2105.2,4485.46,94.65,15.959
2015-06-11,1180.4,18039.4,2108.9,4488.47,94.98,15.96
2015-06-12,1179.2,17898.8,2094.1,4453.79,94.97,15.825
2015-06-13,1179.2,17898.8,2094.1,4453.79,94.97,15.825
2015-06-14,1179.2,17898.8,2094.1,4453.79,94.97,15.825
2015-06-15,1185.8,17791.2,2084.4,4432.92,94.81,16.083
2015-06-16,1180.9,17904.5,2096.3,4455.9,95.0,15.965
2015-06-17,1176.8,17935.7,2100.4,4468.98,94.3,15.947
2015-06-18,1202.0,18115.8,2121.2,4531.85,94.04,16.153
2015-06-19,1201.9,18015.9,2110.0,4513.42,94.08,16.109
2015-06-20,1201.9,18015.9,2110.0,4513.42,94.08,16.109
2015-06-21,1201.9,18015.9,2110.0,4513.42,94.08,16.109
2015-06-22,1184.1,18119.8,2122.8,4544.04,94.33,16.142
2015-06-23,1176.6,18144.1,2124.2,4548.74,95.43,15.737
2015-06-24,1172.9,17966.1,2108.6,4524.6,95.26,15.853
2015-06-25,1171.8,17890.4,2102.3,4514.01,95.19,15.808
2015-06-26,1173.2,17946.7,2101.5,4484.28,95.47,15.768
2015-06-27,1173.2,17946.7,2101.5,4484.28,95.47,15.768
2015-06-28,1173.2,17946.7,2101.5,4484.28,95.47,15.768
2015-06-29,1179.0,17596.3,2057.6,4379.86,94.79,15.695
2015-06-30,1171.8,17619.5,2063.1,4396.76,95.48,15.581
2015-07-01,1169.3,17757.9,2077.4,4429.23,96.31,15.577
2015-07-02,1163.5,17730.1,2076.8,4433.39,96.11,15.562
2015-07-03,1173.2,17623.0,2076.8,4433.39,96.11,15.753
2015-07-04,1173.2,17623.0,2076.8,4433.39,96.11,15.753
